,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
317,tsumeb,-19.2333,17.7167,51.8,82,7,11.01,1619125008
318,rantauprapat,2.1,99.8333,73.0,97,100,0.04,1619125008
319,ponta delgada,37.7333,-25.6667,60.8,72,40,39.12,1619125008
320,maceio,-9.6658,-35.7353,78.8,89,0,8.05,1619125008
321,alyangula,-13.8483,136.4192,75.2,94,90,16.75,1619125009
322,asosa,10.0667,34.5333,68.2,67,99,3.44,1619125009
323,arraial do cabo,-22.9661,-42.0278,73.4,88,20,18.41,1619124704
324,berlevag,70.8578,29.0864,35.6,80,75,17.27,1619125010
325,lanivtsi,49.8633,26.0908,41.27,88,100,8.28,1619125010
326,hailar,49.2,119.7,41.23,70,31,16.58,1619125010
327,chistogorskiy,53.9835,87.3843,26.13,84,7,5.59,1619125010
328,tonantins,-2.8731,-67.8022,80.67,92,78,1.45,1619125011
329,barinas,8.6226,-70.2075,91.4,46,62,5.75,1619125011
330,guozhen,34.3659,107.359,60.62,91,100,2.77,1619125011
331,vizinga,61.0749,50.1031,41.52,92,100,7.72,1619125012
332,sao felix do xingu,-6.6447,-51.995,75.96,94,97,1.54,1619125012
333,prado,-17.3411,-39.2208,75.22,86,93,6.4,1619125012
334,sijunjung,-0.6876,100.9537,71.13,96,99,1.36,1619125012
335,tutoia,-2.7619,-42.2744,79.27,80,75,6.11,1619124819
336,umm lajj,25.0213,37.2685,80.29,63,9,8.23,1619125013
337,east london,-33.0153,27.9116,68.18,79,96,12.3,1619124443
338,bonavista,48.6499,-53.1147,53.6,62,100,9.22,1619125014
339,port lincoln,-34.7333,135.8667,59.77,72,100,8.19,1619125014
340,kurchum,48.5722,83.6542,29.37,63,4,4.79,1619125014
341,opuwo,-18.0607,13.84,74.32,31,98,0.58,1619125014
342,yulara,-25.2406,130.9889,55.4,67,0,6.91,1619124641
343,si bun ruang,16.9667,102.2833,80.71,67,98,4.32,1619125015
344,nichlaul,27.3167,83.7333,75.11,25,0,4.23,1619125015
345,samandag,36.0842,35.9771,60.8,77,0,20.71,1619125015
346,arang,21.2,81.9667,82.96,22,35,8.08,1619125016
347,talnakh,69.4865,88.3972,30.72,94,100,13.2,1619125016
348,houma,29.5958,-90.7195,71.01,49,1,12.66,1619125016
349,krapivinskiy,54.9992,86.8133,30.2,47,0,8.95,1619125017
350,korla,41.7597,86.1469,41.83,57,100,16.17,1619125017
351,abu dhabi,24.4667,54.3667,82.4,54,0,5.75,1619125017
352,mukhen,48.1,136.1,52.68,44,100,7.85,1619125017
353,port blair,11.6667,92.75,77.0,88,40,6.46,1619125018
354,anadyr,64.75,177.4833,10.4,85,20,8.95,1619124719
355,mega,4.05,38.3,59.7,90,100,5.03,1619125018
356,chulym,55.0997,80.9572,29.26,88,8,6.33,1619125018
357,amapa,1.0,-52.0,74.44,97,100,4.21,1619125019
358,nadvoitsy,63.8667,34.3167,35.96,90,97,6.17,1619125019
359,lalawigan,11.5892,125.4697,76.51,88,88,4.12,1619125019
360,port shepstone,-30.7414,30.455,66.33,81,100,9.51,1619125020
361,sur,22.5667,59.5289,86.04,31,9,16.37,1619125020
362,saldanha,-33.0117,17.9442,57.2,88,0,1.14,1619124947
363,geraldton,-28.7667,114.6,64.4,82,100,8.05,1619124839
364,havre-saint-pierre,50.2334,-63.5986,39.2,100,90,14.97,1619125021
365,sibolga,1.7427,98.7792,76.44,88,100,2.73,1619125021
366,lugovoy,42.9472,72.7644,36.23,77,2,6.35,1619125021
367,maloy,61.9353,5.1136,39.2,81,75,9.22,1619125021
368,ojinaga,29.5667,-104.4167,72.0,30,1,3.87,1619125022
369,krasnyy kommunar,51.9644,55.3668,44.6,87,0,11.18,1619125022
370,mahina,-17.5065,-149.489,87.8,62,20,5.75,1619125022
371,port keats,-14.25,129.55,76.06,67,35,9.06,1619125023
